,Unnamed: 0,Place,Firstname,Lastname,Gender,Solo or Duo,Status,StartDate,Checkpoint_1,Checkpoint_2,Checkpoint_3,Checkpoint_4,Checkpoint_5,Checkpoint_6,Checkpoint_7,Checkpoint_8,Checkpoint_9,Checkpoint_fin
215,216,999,Suvi,Tohola,female,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
216,217,999,Scott,Coonce,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
217,218,999,Bart,Vrancken,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
218,219,999,Karel,Poets,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
219,220,999,Robin,Hogger,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
220,221,999,Tom,Smets,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
221,222,999,Florent,Mabon,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
222,223,999,Bjorn,Iffert,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
223,224,999,Kevin,King,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
224,225,999,Colin,Fury,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
225,226,999,Davide,Zuin,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
226,227,999,Joachim,Ottow,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
227,228,999,Mark,Paliwoda,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
228,229,999,Vas,Evtushenko,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
229,230,999,Szymon,Biczak,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
230,231,999,Servee,Derks,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
231,232,999,Andy,Tibbett,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
232,233,999,Stefano,Graziadei,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
233,234,999,Jake,Potter,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
234,235,999,James,O'Neill,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
235,236,999,James,Stockman,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
236,237,999,Matt,Seward,male,Solo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
237,238,1,unknown,Frans-Frans,male,Duo,Finisher,2020-08-29 08:00:00,2020-08-29 13:09:00,2020-08-30 02:08:00,2020-08-30 08:56:00,2020-08-30 18:55:00,2020-08-31 10:12:00,2020-09-01 00:49:00,2020-09-01 08:27:00,2020-09-02 06:05:00,2020-09-02 15:12:00,2020-09-03 01:30:00
238,239,2,unknown,Mulders-Croonen,male,Duo,Finisher,2020-08-29 08:00:00,2020-08-29 13:52:00,2020-08-30 12:17:00,2020-08-30 16:26:00,2020-08-31 10:53:00,empty,2020-09-01 15:19:00,2020-09-01 19:29:00,2020-09-02 18:55:00,2020-09-03 15:21:00,2020-09-04 12:48:00
239,240,3,unknown,Leitner-Finger,male,Duo,Finisher,2020-08-29 08:00:00,2020-08-29 13:20:00,2020-08-30 07:38:00,2020-08-30 11:59:00,2020-08-30 20:49:00,2020-08-31 14:34:00,2020-09-01 11:11:00,2020-09-01 15:50:00,2020-09-02 13:38:00,2020-09-03 11:22:00,2020-09-04 00:00:00
240,241,999,unknown,Casier-Vanbillemont,male,Duo,DNF,2020-08-29 08:00:00,2020-08-29 15:24:00,empty,2020-08-31 10:06:00,2020-09-01 09:02:00,empty,empty,empty,empty,empty,empty
241,242,999,unknown,Krämer-Reindl,male,Duo,DNS,2020-08-29 08:00:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
0,0,1,Bas,Vlaskamp,male,Solo,Finisher,2021-05-01 11:00:00,empty,2021-05-02 00:44:00,2021-05-02 03:33:00,2021-05-02 11:01:00,2021-05-02 17:50:00,2021-05-03 12:27:00,2021-05-03 16:30:00,2021-05-04 07:44:00,2021-05-04 16:42:00,2021-05-05 06:49:00
1,1,2,Sven,Cappuyns,male,Solo,Finisher,2021-05-01 07:45:00,empty,2021-05-01 22:39:00,2021-05-02 01:49:00,2021-05-02 10:34:00,2021-05-02 17:16:00,2021-05-03 13:12:00,2021-05-03 17:11:00,2021-05-04 12:10:00,2021-05-04 21:27:00,2021-05-05 16:13:00
2,2,3,Richard,Frans,male,Solo,Finisher,2021-05-01 07:15:00,empty,2021-05-02 00:32:00,2021-05-02 04:01:00,2021-05-02 14:39:00,2021-05-03 06:04:00,2021-05-03 18:51:00,2021-05-03 23:00:00,2021-05-04 20:47:00,2021-05-05 07:55:00,2021-05-05 21:12:00
3,3,4,Paul,Hesen,male,Solo,Finisher,2021-04-30 06:15:00,2021-04-30 12:10:00,2021-05-01 01:07:00,2021-05-01 08:46:00,2021-05-01 17:15:00,2021-05-02 01:17:00,2021-05-02 17:31:00,2021-05-02 21:09:00,2021-05-03 18:46:00,2021-05-04 10:15:00,2021-05-04 22:50:00
4,4,5,Jason,Schreurs,male,Solo,Finisher,2021-05-01 06:30:00,2021-05-01 11:42:00,2021-05-01 22:32:00,2021-05-02 01:21:00,2021-05-02 15:19:00,2021-05-02 23:47:00,2021-05-03 18:37:00,2021-05-03 23:43:00,2021-05-05 00:09:00,2021-05-05 15:16:00,2021-05-06 04:24:00
5,5,6,Roeland,van der Hoorn,male,Solo,Finisher,2021-05-01 07:45:00,2021-05-01 12:54:00,2021-05-02 00:23:00,2021-05-02 07:02:00,2021-05-02 17:29:00,2021-05-03 08:37:00,2021-05-04 07:55:00,2021-05-04 14:04:00,2021-05-05 13:50:00,2021-05-05 22:08:00,2021-05-06 10:56:00
6,6,7,Mark,de Vos,male,Solo,Finisher,2021-05-01 08:00:00,2021-05-01 13:25:00,2021-05-02 01:30:00,2021-05-02 06:02:00,2021-05-02 21:29:00,2021-05-03 07:27:00,2021-05-03 22:21:00,2021-05-04 10:24:00,2021-05-05 08:50:00,2021-05-05 19:18:00,2021-05-06 14:15:00
7,7,8,Joep,van Luijt,male,Solo,Finisher,2021-05-01 06:45:00,2021-05-01 12:31:00,2021-05-02 00:39:00,2021-05-02 03:39:00,2021-05-02 14:24:00,2021-05-03 09:04:00,2021-05-03 22:41:00,2021-05-04 11:09:00,2021-05-05 10:35:00,2021-05-05 18:54:00,2021-05-06 14:10:00
8,8,9,Tjerk,Bakker,male,Solo,Finisher,2021-05-01 07:30:00,2021-05-01 12:44:00,2021-05-02 06:51:00,2021-05-02 10:15:00,2021-05-02 19:49:00,2021-05-03 13:15:00,2021-05-04 12:21:00,2021-05-04 18:00:00,2021-05-05 17:01:00,2021-05-06 09:26:00,2021-05-06 19:32:00
9,9,10,Pier,Nijenhuis,male,Solo,Finisher,2021-05-01 08:00:00,2021-05-01 13:54:00,2021-05-02 07:21:00,2021-05-02 11:11:00,2021-05-02 21:09:00,2021-05-03 12:48:00,2021-05-04 13:42:00,2021-05-04 19:11:00,2021-05-05 19:27:00,2021-05-06 10:05:00,2021-05-06 21:52:00
10,10,11,Martin,Lukasse,male,Solo,Finisher,2021-05-01 07:00:00,2021-05-01 12:14:00,2021-05-02 07:20:00,2021-05-02 11:10:00,2021-05-02 20:48:00,2021-05-03 13:25:00,2021-05-04 12:35:00,2021-05-04 18:04:00,2021-05-05 18:54:00,2021-05-06 11:47:00,2021-05-06 22:35:00
11,11,12,Pieter Wilbert,Molemaker,male,Solo,Finisher,2021-05-01 06:00:00,2021-05-01 11:22:00,2021-05-02 08:06:00,2021-05-02 11:43:00,2021-05-02 21:21:00,2021-05-03 14:48:00,2021-05-04 11:10:00,2021-05-04 17:09:00,2021-05-05 19:55:00,2021-05-06 10:42:00,2021-05-06 22:10:00
12,12,13,Korjun,de Boer,male,Solo,Finisher,2021-04-30 09:45:00,2021-04-30 15:58:00,2021-05-01 11:55:00,2021-05-01 16:05:00,2021-05-02 09:41:00,2021-05-02 17:20:00,2021-05-03 14:46:00,2021-05-03 20:05:00,2021-05-04 21:11:00,2021-05-05 15:27:00,2021-05-06 13:14:00
13,13,14,Sander,Verdiesen,male,Solo,Finisher,2021-05-01 07:30:00,2021-05-01 13:10:00,2021-05-02 08:57:00,2021-05-02 12:38:00,2021-05-03 07:49:00,2021-05-03 18:48:00,2021-05-05 05:02:00,2021-05-05 09:51:00,2021-05-06 10:47:00,2021-05-07 04:24:00,2021-05-07 16:52:00
14,14,15,Johan,Kooistra,male,Solo,Finisher,2021-04-30 07:30:00,empty,2021-05-01 12:29:00,2021-05-01 16:41:00,2021-05-02 09:08:00,2021-05-02 18:47:00,2021-05-03 18:52:00,2021-05-03 23:32:00,2021-05-05 13:25:00,2021-05-06 07:23:00,2021-05-06 19:20:00
15,15,16,Carlo,van Duren,male,Solo,Finisher,2021-04-30 06:00:00,2021-04-30 13:39:00,2021-05-01 13:54:00,2021-05-01 17:42:00,2021-05-02 10:47:00,2021-05-02 20:48:00,2021-05-03 19:24:00,2021-05-04 01:13:00,2021-05-05 10:47:00,2021-05-05 23:45:00,2021-05-06 18:42:00
16,16,17,Berdine,Bakker,female,Solo,Finisher,2021-05-01 06:15:00,2021-05-01 12:46:00,2021-05-02 11:03:00,2021-05-02 15:02:00,2021-05-03 09:49:00,2021-05-04 09:05:00,2021-05-05 13:51:00,2021-05-05 18:08:00,2021-05-06 18:35:00,2021-05-07 11:32:00,2021-05-08 08:53:00
17,17,18,Piere,Ramaekers,male,Solo,Finisher,2021-04-30 11:00:00,empty,2021-05-01 18:31:00,2021-05-02 08:38:00,2021-05-02 20:06:00,2021-05-03 14:13:00,2021-05-04 17:08:00,2021-05-05 09:45:00,2021-05-06 10:51:00,2021-05-07 06:27:00,2021-05-07 19:41:00
18,18,19,Machiel,Appel,male,Solo,Finisher,2021-04-30 08:00:00,2021-04-30 14:50:00,2021-05-01 14:43:00,2021-05-01 18:12:00,2021-05-02 16:17:00,2021-05-03 12:15:00,2021-05-04 13:11:00,2021-05-04 18:28:00,2021-05-06 08:24:00,2021-05-06 18:12:00,2021-05-07 16:48:00
19,19,20,Jan-Kees,Pennings,male,Solo,Finisher,2021-05-01 07:15:00,2021-05-01 14:23:00,2021-05-02 13:18:00,2021-05-02 17:59:00,2021-05-03 14:25:00,2021-05-04 13:13:00,2021-05-05 14:59:00,2021-05-05 21:28:00,2021-05-06 22:43:00,2021-05-07 19:01:00,2021-05-08 18:16:00
20,20,21,Lars,Wieringa,male,Solo,Finisher,2021-04-30 07:30:00,empty,2021-05-01 15:34:00,2021-05-01 20:03:00,2021-05-02 16:49:00,2021-05-03 13:16:00,2021-05-04 13:51:00,2021-05-05 05:19:00,2021-05-06 08:59:00,2021-05-06 19:35:00,2021-05-07 19:18:00
21,21,22,Maarten,Naberink,male,Solo,Finisher,2021-04-30 07:45:00,empty,2021-05-01 11:16:00,2021-05-01 15:36:00,2021-05-02 15:22:00,2021-05-03 10:38:00,2021-05-05 00:12:00,2021-05-05 06:11:00,2021-05-06 14:45:00,2021-05-07 09:42:00,2021-05-07 21:50:00
22,22,23,Ruurdje,Procee,female,Solo,Finisher,2021-04-30 08:00:00,2021-04-30 15:30:00,2021-05-01 15:47:00,2021-05-01 19:36:00,2021-05-02 16:33:00,2021-05-03 12:19:00,2021-05-05 06:52:00,2021-05-05 11:11:00,2021-05-06 11:57:00,2021-05-07 08:33:00,2021-05-07 22:27:00
23,23,24,Sjors,Hegger,male,Solo,Finisher,2021-04-30 11:45:00,2021-04-30 18:39:00,2021-05-01 18:34:00,2021-05-02 10:45:00,2021-05-02 21:09:00,2021-05-03 16:36:00,2021-05-05 07:29:00,2021-05-05 12:08:00,2021-05-06 13:20:00,2021-05-07 10:11:00,2021-05-08 11:46:00
24,24,25,Patrick,Bruns,male,Solo,Finisher,2021-05-01 06:45:00,2021-05-01 14:23:00,2021-05-02 15:09:00,2021-05-02 19:59:00,2021-05-03 16:14:00,2021-05-04 17:20:00,2021-05-05 20:45:00,2021-05-06 10:52:00,2021-05-07 13:24:00,2021-05-08 11:30:00,2021-05-09 09:50:00
25,25,26,Kemal,Arslan,male,Solo,Finisher,2021-05-01 09:15:00,2021-05-01 16:27:00,2021-05-02 14:47:00,empty,2021-05-03 17:52:00,2021-05-04 23:17:00,2021-05-06 16:24:00,2021-05-06 22:13:00,2021-05-07 23:39:00,2021-05-08 20:53:00,2021-05-09 20:39:00
26,26,27,Gemma,Adelaar,female,Solo,Finisher,2021-04-30 08:00:00,2021-04-30 15:10:00,2021-05-01 17:25:00,2021-05-02 08:52:00,2021-05-03 07:45:00,2021-05-03 19:03:00,2021-05-05 16:47:00,2021-05-06 08:24:00,2021-05-07 10:20:00,2021-05-08 06:56:00,2021-05-08 19:39:00
27,27,28,Patrick,Schut,male,Solo,Finisher,2021-04-30 06:45:00,2021-04-30 14:21:00,2021-05-01 15:36:00,2021-05-01 20:05:00,2021-05-02 16:29:00,2021-05-03 15:55:00,2021-05-05 12:56:00,2021-05-05 18:45:00,2021-05-06 21:19:00,2021-05-08 08:13:00,2021-05-08 22:41:00
28,28,29,Matthijs,Plender,male,Solo,Finisher,2021-04-30 08:30:00,2021-04-30 16:51:00,2021-05-02 07:44:00,2021-05-02 13:15:00,2021-05-03 13:09:00,2021-05-04 13:44:00,2021-05-05 18:20:00,2021-05-06 09:45:00,2021-05-07 14:05:00,2021-05-08 11:19:00,2021-05-09 13:15:00
29,29,30,Charles,Cox,male,Solo,Finisher,2021-04-30 07:30:00,2021-04-30 16:31:00,2021-05-01 21:34:00,2021-05-02 12:15:00,2021-05-03 13:28:00,2021-05-04 13:53:00,2021-05-05 18:58:00,2021-05-06 15:05:00,2021-05-07 18:15:00,2021-05-08 18:41:00,2021-05-09 20:36:00
30,30,31,Baptistine,Smets,female,Solo,Finisher,2021-04-30 06:30:00,2021-04-30 15:39:00,2021-05-01 19:44:00,2021-05-02 11:02:00,2021-05-03 15:57:00,2021-05-05 11:25:00,2021-05-06 17:41:00,2021-05-06 22:59:00,2021-05-08 16:52:00,2021-05-09 15:08:00,2021-05-10 19:53:00
31,31,999,Jan-Dick,den Das,male,Solo,DNF,2021-04-30 10:00:00,2021-04-30 16:16:00,2021-05-01 12:43:00,2021-05-01 16:21:00,2021-05-02 12:38:00,2021-05-02 21:26:00,empty,empty,empty,empty,empty
32,32,999,Guy,Burgerhout,male,Solo,DNF,2021-05-01 06:30:00,2021-05-01 12:33:00,2021-05-02 08:50:00,2021-05-02 12:59:00,2021-05-03 16:04:00,empty,empty,empty,empty,empty,empty
33,33,999,Wandert,Benthem,male,Solo,DNF,2021-04-30 07:15:00,empty,2021-05-01 12:39:00,2021-05-01 16:38:00,2021-05-02 10:15:00,2021-05-02 19:24:00,2021-05-04 12:38:00,2021-05-05 08:44:00,empty,empty,empty
34,34,999,Auke (DSQ,Jongbloed,male,Solo,DNF,2021-05-01 09:00:00,2021-05-01 14:43:00,2021-05-02 12:31:00,2021-05-02 17:44:00,2021-05-03 11:27:00,2021-05-04 11:02:00,2021-05-04 14:02:00,empty,empty,empty,empty
35,35,999,Julio Greff,de Oliveira,male,Solo,DNF,2021-04-30 09:00:00,2021-04-30 15:56:00,2021-05-01 06:55:00,2021-05-01 11:18:00,2021-05-02 12:08:00,2021-05-02 20:17:00,2021-05-03 17:03:00,2021-05-04 10:40:00,2021-05-05 07:16:00,empty,empty
36,36,999,Jonathan,Verkerk,male,Solo,DNF,2021-04-30 10:00:00,2021-04-30 17:06:00,2021-05-02 12:28:00,2021-05-02 17:07:00,2021-05-03 16:41:00,2021-05-05 15:42:00,2021-05-07 13:17:00,empty,empty,empty,empty
37,37,999,Bruce,Martens,male,Solo,DNF,2021-05-01 08:00:00,2021-05-01 13:14:00,2021-05-02 00:52:00,2021-05-02 10:31:00,2021-05-02 19:49:00,2021-05-03 14:46:00,empty,empty,empty,empty,empty
38,38,999,Hans,Meinsma,male,Solo,DNF,2021-04-30 10:00:00,2021-04-30 15:59:00,2021-05-01 12:25:00,2021-05-01 16:20:00,2021-05-02 12:40:00,2021-05-03 10:18:00,empty,empty,empty,empty,empty
39,39,999,Rémy,Pedussel,male,Solo,DNF,2021-04-30 11:45:00,2021-05-01 09:12:00,2021-05-02 14:38:00,2021-05-02 18:52:00,2021-05-03 18:22:00,2021-05-04 23:47:00,empty,empty,empty,empty,empty
40,40,999,Martijn,Verhaeg,male,Solo,DNF,2021-05-01 09:00:00,2021-05-01 14:16:00,2021-05-02 00:13:00,2021-05-02 03:09:00,2021-05-02 11:21:00,empty,empty,empty,empty,empty,empty
41,41,999,Matthieu,Bos,male,Solo,DNF,2021-04-30 11:00:00,2021-04-30 17:25:00,2021-05-01 13:15:00,2021-05-01 17:12:00,2021-05-02 11:50:00,empty,empty,empty,empty,empty,empty
42,42,999,Mark,Paliwoda,male,Solo,DNF,2021-05-01 08:15:00,2021-05-01 15:09:00,2021-05-02 16:20:00,2021-05-03 06:07:00,2021-05-03 16:06:00,empty,empty,empty,empty,empty,empty
43,43,999,Gregory,Van Overloop,male,Solo,DNF,2021-05-01 07:30:00,2021-05-01 13:12:00,empty,2021-05-02 13:13:00,empty,empty,empty,empty,empty,empty,empty
44,44,999,Arjan,Kraaijeveld,male,Solo,DNF,2021-05-01 06:30:00,empty,2021-05-02 08:14:00,2021-05-02 12:53:00,empty,empty,empty,empty,empty,empty,empty
45,45,999,Henri,Arts,male,Solo,DNF,2021-05-01 06:00:00,2021-05-01 11:46:00,2021-05-02 09:42:00,2021-05-02 13:43:00,empty,empty,empty,empty,empty,empty,empty
46,46,999,Rob,Kenens,male,Solo,DNF,2021-05-01 09:15:00,2021-05-01 16:04:00,2021-05-02 14:21:00,2021-05-02 18:29:00,empty,empty,empty,empty,empty,empty,empty
47,47,999,Deovrat,Phal,male,Solo,DNF,2021-04-30 06:30:00,2021-04-30 14:30:00,2021-05-01 17:14:00,2021-05-01 22:03:00,empty,empty,empty,empty,empty,empty,empty
48,48,999,Marc,Wismans,male,Solo,DNF,2021-04-30 11:15:00,2021-04-30 18:36:00,2021-05-02 10:58:00,2021-05-02 15:27:00,empty,empty,empty,empty,empty,empty,empty
49,49,999,Erik,Wallinga,male,Solo,DNF,2021-05-01 07:00:00,2021-05-01 13:14:00,2021-05-02 11:41:00,empty,empty,empty,empty,empty,empty,empty,empty
50,50,999,Jeroen,van der Wiel,male,Solo,DNF,2021-05-01 07:00:00,2021-05-01 14:03:00,2021-05-02 11:49:00,empty,empty,empty,empty,empty,empty,empty,empty
51,51,999,Edwin,Nederlof,male,Solo,DNF,2021-04-30 08:30:00,2021-04-30 14:47:00,2021-05-01 17:25:00,empty,empty,empty,empty,empty,empty,empty,empty
52,52,999,Marius,Bettentrup,male,Solo,DNF,2021-05-01 09:30:00,2021-05-01 18:44:00,2021-05-03 10:47:00,empty,empty,empty,empty,empty,empty,empty,empty
53,53,999,Hans,Kroodsma,male,Solo,DNF,2021-05-01 07:15:00,2021-05-01 13:24:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
54,54,999,Niek,Smeets,male,Solo,DNF,2021-05-01 09:00:00,2021-05-01 15:20:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
55,55,999,Marlow,Drevel,male,Solo,DNF,2021-04-30 08:45:00,2021-04-30 16:07:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
56,56,999,Ivo,Lafeber,male,Solo,DNF,2021-05-01 07:45:00,2021-05-01 15:19:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
57,57,999,John,van Duren,male,Solo,DNF,2021-04-30 06:00:00,2021-04-30 14:29:00,empty,empty,empty,empty,empty,empty,empty,empty,empty
58,58,999,Hugo,Wasser,male,Solo,DNF,2021-04-30 08:30:00,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
59,59,999,Lucie,Mensinga,female,Solo,DNS,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
60,60,999,Pim,Heijnen,male,Solo,DNS,,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
61,61,1,,Willems (DNF - Timmermans,male,Duo,Finisher,2021-04-30 09:15:00,2021-04-30 16:20:00,2021-05-01 15:00:00,2021-05-01 18:48:00,2021-05-02 15:24:00,2021-05-03 09:33:00,2021-05-05 11:34:00,2021-05-05 16:53:00,2021-05-06 20:05:00,2021-05-07 15:05:00,2021-05-08 12:02:00
